LA CODE, UNIFIED DESCRIPTION,UNIFIED CODE
121,SEXUAL ASSAULT,2
122,SEXUAL ASSAULT,2
622,BATTERY,624
624,BATTERY,624
860,BATTERY,624
625,ASSAULT,3
230,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,230
626,DOMESTIC ASSAULT,14
236,DOMESTIC ASSAULT,14
740,VANDALISM,4
745,VANDALISM,4
924,VANDALISM,4
331,GRAND THEFT,5
341,GRAND THEFT,5
343,SHOPLIFTING,442
345,GRAND THEFT,5
349,GRAND THEFT,5
420,PETTY THEFT,10
421,ATTEMPTED GENERAL THEFT,11
440,PETTY THEFT,10
441,ATTEMPTED GENERAL THEFT,11
442,SHOPLIFTING,442
443,SHOPLIFTING,442
444,PETTY THEFT,10
445,ATTEMPTED GENERAL THEFT,11
446,PETTY THEFT,10
450,ATTEMPTED GENERAL THEFT,11
470,GRAND THEFT,5
471,PETTY THEFT,10
472,ATTEMPTED GENERAL THEFT,11
473,COIN MACHINE THEFT,6
474,COIN MACHINE THEFT,6
475,COIN MACHINE THEFT,6
668,EMBEZZLEMENT,668
670,EMBEZZLEMENT,668
822,HUMAN TRAFFICKING,7
921,HUMAN TRAFFICKING,7
649,DOCUMENT FORGERY/THEFT,649
653,CREDIT CARD FRAUD,653
654,CREDIT CARD FRAUD,653
920,KIDNAPPING,910
753,UNLAWFUL USE OF FIREARM,13
250,UNLAWFUL USE OF FIREARM,13
251,UNLAWFUL USE OF FIREARM,13
956,LETTERS LEWD - TELEPHONE CALLS LEWD,956
235,CHILD ABUSE,9
237,CHILD ABUSE,9
627,CHILD ABUSE,9
