CH CODE, UNIFIED DESCRIPTION, UNIFIED CODE
0110,CRIMINAL HOMICIDE,110
0141,MANSLAUGHTER NEGLIGENT,113
0142,MANSLAUGHTER NEGLIGENT,113
0261,SEXUAL ASSAULT,2
0262,SEXUAL ASSAULT,2
0263,SEXUAL ASSAULT,2
0264,SEXUAL ASSAULT,2
0265,SEXUAL ASSAULT,2
0266,SEXUAL ASSAULT,2
0271,SEXUAL ASSAULT,2
0272,SEXUAL ASSAULT,2
0273,SEXUAL ASSAULT,2
0274,SEXUAL ASSAULT,2
0275,SEXUAL ASSAULT,2
0281,SEXUAL ASSAULT,2
0291,SEXUAL ASSAULT,2
0312,ROBBERY,210
0313,ROBBERY,210
031A,ROBBERY,210
031B,ROBBERY,210
0320,ROBBERY,210
0325,ROBBERY,210
0326,ROBBERY,210
0330,ROBBERY,210
0331,ATTEMPTED ROBBERY,220
0334,ATTEMPTED ROBBERY,220
0337,ATTEMPTED ROBBERY,220
033A,ATTEMPTED ROBBERY,220
033B,ATTEMPTED ROBBERY,220
0340,ATTEMPTED ROBBERY,220
041A,BATTERY,624
041B,BATTERY,624
0420,BATTERY,624
0430,BATTERY,624
0440,BATTERY,624
0450,BATTERY POLICE (SIMPLE),623
0451,BATTERY POLICE (SIMPLE),623
0452,BATTERY POLICE (SIMPLE),623
0453,BATTERY POLICE (SIMPLE),623
0454,BATTERY POLICE (SIMPLE),623
0460,BATTERY,624
0461,BATTERY,624
0462,BATTERY,624
0470,BATTERY,624
0475,BATTERY,624
0479,BATTERY,624
0480,BATTERY,624
0481,BATTERY,624
0482,BATTERY,624
0483,BATTERY,624
0484,BATTERY,624
0485,BATTERY,624
0486,BATTERY,624
0487,BATTERY,624
0488,BATTERY,624
0489,BATTERY,624
0495,BATTERY,624
0496,BATTERY,624
0497,BATTERY,624
0498,BATTERY,624
0499,BATTERY,624
0486,DOMESTIC ASSAULT,14
0488,DOMESTIC ASSAULT,14
0489,DOMESTIC ASSAULT,14
0496,DOMESTIC ASSAULT,14
0497,DOMESTIC ASSAULT,14
0498,DOMESTIC ASSAULT,14
0499,DOMESTIC ASSAULT,14
9901,DOMESTIC ASSAULT,14
051A,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,230
051B,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,230
0520,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,230
0530,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,230
0550,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,231
0551,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,231
0552,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,231
0553,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,
231
0545,ASSAULT,3
0554,ASSAULT,3
0555,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,230
0556,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,230
0557,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,230
0558,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,230
0580,STALKING,763
0581,STALKING,763
0583,STALKING,763
0584,STALKING,763
0585,STALKING,763
0610,BURGLARY,310
0620,BURGLARY,310
0630,BURGLARY,310
0650,BURGLARY,310
1010,ARSON,648
1020,ARSON,648
1025,ARSON,648
1030,ARSON,648
1035,ARSON,648
1090,ARSON,648
1265,VANDALISM,4
1305,VANDALISM,4
1310,VANDALISM,4
1320,VANDALISM,4
1340,VANDALISM,4
1345,VANDALISM,4
1370,VANDALISM,4
1375,VANDALISM,4
1330,TRESPASSING,888
1335,TRESPASSING,888
1350,TRESPASSING,888
1360,TRESPASSING,888
1365,TRESPASSING,888
0840,THEFT OF IDENTITY,354
0841,THEFT OF IDENTITY,354
0843,THEFT OF IDENTITY,354
0870,PICKPOCKET,8
0810,GRAND THEFT,5
0820,PETTY THEFT,10
0820,PETTY THEFT,10
0850,ATTEMPTED GENERAL THEFT,11
0890,GENERAL THEFT,12
0865,GENERAL THEFT,12
1205,GENERAL THEFT,12
1206,GENERAL THEFT,12
1210,GENERAL THEFT,12
1220,GENERAL THEFT,12
1260,PETTY THEFT,10
0880,PURSE SNATCHING,351
0895,COIN MACHINE THEFT,6
0910,VEHICLE - STOLEN,487
0915,VEHICLE - STOLEN,487
0917,BIKE - STOLEN,480
0918,BIKE -STOLEN,480
0920,VEHICLE - ATTEMPT STOLEN,520
0925,VEHICLE - ATTEMPT STOLEN,520
0927,BIKE - ATTEMPT STOLEN,485
0928,BIKE - ATTEMPT STOLEN,485
1050,HUMAN TRAFFICKING,7
1055,HUMAN TRAFFICKING,7
1576,BIGAMY,948
1578,BIGAMY,948
1570,INDECENT EXPOSURE,850
1536,INDECENT EXPOSURE,850
2860,FALSE POLICE REPORT,439
0830,SHOPLIFTING,442
0860,SHOPLIFTING,442
1120,DOCUMENT FORGERY/THEFT,649
1122,COUNTERFEIT,660
1121,COUNTERFEIT,660
1150,CREDIT CARD FRAUD,653
1151,CREDIT CARD FRAUD,653
1152,CREDIT CARD FRAUD,653
1153,THEFT OF IDENTITY,354
1154,THEFT OF IDENTITY,354
1155,THEFT OF IDENTITY,354
1156,THEFT OF IDENTITY,354
1240,UNAUTHORIZED COMPUTER ACCESS,661
1241,UNAUTHORIZED COMPUTER ACCESS,661
1242,UNAUTHORIZED COMPUTER ACCESS,661
1140,EMBEZZLEMENT,668
2850,BOMB SCARE,755
2870,PEEPING TOM,932
143A,WEAPONS POSSESSION/BOMBING,756
143B,WEAPONS POSSESSION/BOMBING,756
1530,PIMPING,805
1531,PIMPING,805
1515,PANDERING,806
1580,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),830
1755,CHILD ABANDONMENT,870
1537,CHILD PORNOGRAPHY,814
1544,LEWD/LASCIVIOUS ACTS WITH CHILD,760
1565,LEWD/LASCIVIOUS ACTS WITH CHILD,760
1582,CHILD PORNOGRAPHY,814
1752,LEWD/LASCIVIOUS ACTS WITH CHILD,760
1753,LEWD/LASCIVIOUS ACTS WITH CHILD,760
3100,INCITING A RIOT,882
4386,VIOLATION OF RESTRAINING ORDER,901
5073,VIOLATION OF RESTRAINING ORDER,901
4210,KIDNAPPING,910
4220,KIDNAPPING,910
4230,KIDNAPPING,910
4240,KIDNAPPING,910
4255,KIDNAPPING,910
1792,CHILD STEALING,922
1790,CHILD STEALING,922
2820,THREATENING PHONE CALLS/LETTERS,928
3970,EXTORTION,940
3910,BRIBERY,942
501A,CRUELTY TO ANIMALS,943
1682,CRUELTY TO ANIMALS,943
1710,CHILD ABUSE,9
1750,CHILD ABUSE,9
141A,UNLAWFUL USE OF FIREARM,13
141B,UNLAWFUL USE OF FIREARM,13
1477,UNLAWFUL USE OF FIREARM,13
"2830",LETTERS LEWD - TELEPHONE CALLS LEWD,956
"2820",THREATENING PHONE CALLS/LETTERS,928
